method,path,controller,handler,guards,skip_csrf,require_json,step_up,source,source_sha256
GET,/,AppController,root,,false,false,false,apps/api/src/app.controller.ts,c93d2416508ca040948491b80b0271a8d6f9e2c91c0447ec3a518a286750079a
GET,/api/admin/agent-slots,AgentSlotsController,list,SessionAuthGuard,false,false,false,apps/api/src/ai-agents/ai-agent-slots.controller.ts,84d09b14d8f6ad5b4052b96efc399b4982dc4b01a1f962da14baaeb624a18a06
PUT,/api/admin/agent-slots/:slotKey/agent,AgentSlotsController,assign,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/ai-agents/ai-agent-slots.controller.ts,84d09b14d8f6ad5b4052b96efc399b4982dc4b01a1f962da14baaeb624a18a06
GET,/api/admin/agents,AgentsController,list,SessionAuthGuard,false,false,false,apps/api/src/ai-agents/ai-agents.controller.ts,5ab13bafb97aad4beca3619bb4509508ba884e7809b005e00934a7c819b929bb
POST,/api/admin/agents,AgentsController,create,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/ai-agents/ai-agents.controller.ts,5ab13bafb97aad4beca3619bb4509508ba884e7809b005e00934a7c819b929bb
DELETE,/api/admin/agents/:id,AgentsController,remove,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/ai-agents/ai-agents.controller.ts,5ab13bafb97aad4beca3619bb4509508ba884e7809b005e00934a7c819b929bb
GET,/api/admin/agents/:id,AgentsController,get,SessionAuthGuard,false,false,false,apps/api/src/ai-agents/ai-agents.controller.ts,5ab13bafb97aad4beca3619bb4509508ba884e7809b005e00934a7c819b929bb
PUT,/api/admin/agents/:id,AgentsController,update,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/ai-agents/ai-agents.controller.ts,5ab13bafb97aad4beca3619bb4509508ba884e7809b005e00934a7c819b929bb
POST,/api/admin/agents/:id/kbs,AgentsController,addKb,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/ai-agents/ai-agents.controller.ts,5ab13bafb97aad4beca3619bb4509508ba884e7809b005e00934a7c819b929bb
DELETE,/api/admin/agents/:id/kbs/:kbId,AgentsController,removeKb,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/ai-agents/ai-agents.controller.ts,5ab13bafb97aad4beca3619bb4509508ba884e7809b005e00934a7c819b929bb
POST,/api/admin/agents/:id/policies,AgentsController,addPolicy,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/ai-agents/ai-agents.controller.ts,5ab13bafb97aad4beca3619bb4509508ba884e7809b005e00934a7c819b929bb
DELETE,/api/admin/agents/:id/policies/:policyId,AgentsController,removePolicy,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/ai-agents/ai-agents.controller.ts,5ab13bafb97aad4beca3619bb4509508ba884e7809b005e00934a7c819b929bb
GET,/api/admin/agents/options,AgentsController,options,SessionAuthGuard,false,false,false,apps/api/src/ai-agents/ai-agents.controller.ts,5ab13bafb97aad4beca3619bb4509508ba884e7809b005e00934a7c819b929bb
GET,/api/admin/ai-models,AiModelsController,list,SessionAuthGuard,false,false,false,apps/api/src/ai-models/ai-models.controller.ts,de55baffc85473c29f775b56f1fc1ea686dc27c64b5a3cc8ca0327e5f6eeaeb0
POST,/api/admin/ai-models,AiModelsController,create,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/ai-models/ai-models.controller.ts,de55baffc85473c29f775b56f1fc1ea686dc27c64b5a3cc8ca0327e5f6eeaeb0
DELETE,/api/admin/ai-models/:id,AiModelsController,remove,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/ai-models/ai-models.controller.ts,de55baffc85473c29f775b56f1fc1ea686dc27c64b5a3cc8ca0327e5f6eeaeb0
GET,/api/admin/ai-models/:id,AiModelsController,get,SessionAuthGuard,false,false,false,apps/api/src/ai-models/ai-models.controller.ts,de55baffc85473c29f775b56f1fc1ea686dc27c64b5a3cc8ca0327e5f6eeaeb0
PUT,/api/admin/ai-models/:id,AiModelsController,update,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/ai-models/ai-models.controller.ts,de55baffc85473c29f775b56f1fc1ea686dc27c64b5a3cc8ca0327e5f6eeaeb0
POST,/api/admin/ai-models/:id/test,AiModelsController,test,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/ai-models/ai-models.controller.ts,de55baffc85473c29f775b56f1fc1ea686dc27c64b5a3cc8ca0327e5f6eeaeb0
GET,/api/admin/approval-requests,DualApprovalController,listApprovalRequests,SessionAuthGuard;StepUpGuard,false,false,false,apps/api/src/admin/dual-approval.controller.ts,c96eb6a59cec28a853d7964bc52b45463db0548798d103461f6cb1d811639158
POST,/api/admin/approval-requests,DualApprovalController,createApprovalRequest,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/dual-approval.controller.ts,c96eb6a59cec28a853d7964bc52b45463db0548798d103461f6cb1d811639158
POST,/api/admin/approval-requests/:id/approve,DualApprovalController,approveApprovalRequest,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/dual-approval.controller.ts,c96eb6a59cec28a853d7964bc52b45463db0548798d103461f6cb1d811639158
POST,/api/admin/approval-requests/:id/reject,DualApprovalController,rejectApprovalRequest,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/dual-approval.controller.ts,c96eb6a59cec28a853d7964bc52b45463db0548798d103461f6cb1d811639158
POST,/api/admin/branding/activate,AdminController,activateBrandConfig,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
GET,/api/admin/branding/assets/:id/:digest,AdminBrandAssetController,read,SessionAuthGuard,false,false,false,apps/api/src/admin/brand-asset.controller.ts,2276a62acc61c1af28cf8a38b50117ad2a1ff900649c724def87878b5eed7bfc
GET,/api/admin/branding/config,AdminController,getActiveBrandConfig,SessionAuthGuard,false,false,false,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
PUT,/api/admin/branding/config,AdminController,upsertBrandConfig,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
GET,/api/admin/branding/configs,AdminController,listBrandConfigs,SessionAuthGuard,false,false,false,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
GET,/api/admin/catalogue/products,CatalogueProductsController,list,SessionAuthGuard,false,false,false,apps/api/src/catalogue/catalogue-products.controller.ts,aff3e2d8e7de3153e859664e74e5dbe7cce4223b241859fd3d224673c7154718
POST,/api/admin/catalogue/products,CatalogueProductsController,create,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/catalogue/catalogue-products.controller.ts,aff3e2d8e7de3153e859664e74e5dbe7cce4223b241859fd3d224673c7154718
DELETE,/api/admin/catalogue/products/:id,CatalogueProductsController,archive,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/catalogue/catalogue-products.controller.ts,aff3e2d8e7de3153e859664e74e5dbe7cce4223b241859fd3d224673c7154718
GET,/api/admin/catalogue/products/:id,CatalogueProductsController,get,SessionAuthGuard,false,false,false,apps/api/src/catalogue/catalogue-products.controller.ts,aff3e2d8e7de3153e859664e74e5dbe7cce4223b241859fd3d224673c7154718
PUT,/api/admin/catalogue/products/:id,CatalogueProductsController,update,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/catalogue/catalogue-products.controller.ts,aff3e2d8e7de3153e859664e74e5dbe7cce4223b241859fd3d224673c7154718
POST,/api/admin/catalogue/products/:id/prices,CatalogueProductsController,addPrice,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/catalogue/catalogue-products.controller.ts,aff3e2d8e7de3153e859664e74e5dbe7cce4223b241859fd3d224673c7154718
GET,/api/admin/catalogue/products/:id/rule-references,CatalogueProductsController,ruleReferences,SessionAuthGuard,false,false,false,apps/api/src/catalogue/catalogue-products.controller.ts,aff3e2d8e7de3153e859664e74e5dbe7cce4223b241859fd3d224673c7154718
GET,/api/admin/config/assignment-rules,AdminController,getStaffAssignmentRules,SessionAuthGuard,false,false,false,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
PUT,/api/admin/config/assignment-rules,AdminController,setStaffAssignmentRules,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
GET,/api/admin/config/contract-electricity-limits,ContractElectricityLimitsController,get,SessionAuthGuard,false,false,false,apps/api/src/admin/contract-electricity-limits.controller.ts,b9624c604d80d57fcb0058d95ae66a51fb7499862311fcd6bce107b041e012ff
PUT,/api/admin/config/contract-electricity-limits,ContractElectricityLimitsController,update,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/contract-electricity-limits.controller.ts,b9624c604d80d57fcb0058d95ae66a51fb7499862311fcd6bce107b041e012ff
GET,/api/admin/config/delivery-window,AdminController,getDeliveryWindow,SessionAuthGuard,false,false,false,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
PUT,/api/admin/config/delivery-window,AdminController,setDeliveryWindow,SessionAuthGuard,false,false,false,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
GET,/api/admin/config/dual-approval-threshold,AdminController,getDualApprovalThreshold,SessionAuthGuard,false,false,false,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
PUT,/api/admin/config/dual-approval-threshold,AdminController,setDualApprovalThreshold,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
GET,/api/admin/config/escalation-policy,AdminController,getEscalationPolicy,SessionAuthGuard,false,false,false,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
PUT,/api/admin/config/escalation-policy,AdminController,setEscalationPolicy,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
GET,/api/admin/config/green-electricity-rules,AdminController,getGreenElectricityRules,SessionAuthGuard,false,false,false,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
PUT,/api/admin/config/green-electricity-rules,AdminController,setGreenElectricityRules,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
GET,/api/admin/config/green-electricity-rules/safety-status,AdminController,getGreenElectricitySafetyStatus,SessionAuthGuard,false,false,false,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
GET,/api/admin/config/invoice-reminder-offsets,ReminderOffsetToggleController,list,SessionAuthGuard;StepUpGuard,false,false,false,apps/api/src/admin/reminder-offset-toggle.controller.ts,2cb0223c3aab6bf27d1b673577f5160918826ff26f0c54c6045123e7d3bd0eec
PUT,/api/admin/config/invoice-reminder-offsets,ReminderOffsetToggleController,set,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/reminder-offset-toggle.controller.ts,2cb0223c3aab6bf27d1b673577f5160918826ff26f0c54c6045123e7d3bd0eec
GET,/api/admin/config/otp,OtpConfigController,get,SessionAuthGuard,false,false,false,apps/api/src/auth/otp-config.controller.ts,fbeac35e1e2dbfeced4a708b8af1a327c6c66f77d1c6c664671896d8dccf259f
PUT,/api/admin/config/otp,OtpConfigController,update,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/auth/otp-config.controller.ts,fbeac35e1e2dbfeced4a708b8af1a327c6c66f77d1c6c664671896d8dccf259f
GET,/api/admin/config/profile-verification-mode,AdminController,getProfileVerificationMode,SessionAuthGuard,false,false,false,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
PUT,/api/admin/config/profile-verification-mode,AdminController,setProfileVerificationMode,SessionAuthGuard,false,false,false,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
GET,/api/admin/config/service-response-targets,AdminController,getServiceResponseTargets,SessionAuthGuard,false,false,false,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
PUT,/api/admin/config/service-response-targets,AdminController,setServiceResponseTargets,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
GET,/api/admin/config/wallet-top-up-limit,AdminController,getWalletTopUpLimit,SessionAuthGuard,false,false,false,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
PUT,/api/admin/config/wallet-top-up-limit,AdminController,setWalletTopUpLimit,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/admin.controller.ts,2b2a0e930b5fd1ba313ead433eb7ea1bf9c120f206e4b1ea094efa884fb4c21e
GET,/api/admin/contract-templates,ContractTemplateController,list,SessionAuthGuard,false,false,false,apps/api/src/admin/contract-template.controller.ts,3251ff74eadff5f11442c2fcb6e716888d5566750b56de4d6e6804a59e6d77d5
POST,/api/admin/contract-templates,ContractTemplateController,create,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/contract-template.controller.ts,3251ff74eadff5f11442c2fcb6e716888d5566750b56de4d6e6804a59e6d77d5
DELETE,/api/admin/contract-templates/:id,ContractTemplateController,delete,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/contract-template.controller.ts,3251ff74eadff5f11442c2fcb6e716888d5566750b56de4d6e6804a59e6d77d5
GET,/api/admin/contract-templates/:id,ContractTemplateController,get,SessionAuthGuard,false,false,false,apps/api/src/admin/contract-template.controller.ts,3251ff74eadff5f11442c2fcb6e716888d5566750b56de4d6e6804a59e6d77d5
PATCH,/api/admin/contract-templates/:id,ContractTemplateController,update,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/contract-template.controller.ts,3251ff74eadff5f11442c2fcb6e716888d5566750b56de4d6e6804a59e6d77d5
POST,/api/admin/contract-templates/:id/versions,ContractTemplateController,uploadVersion,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/contract-template.controller.ts,3251ff74eadff5f11442c2fcb6e716888d5566750b56de4d6e6804a59e6d77d5
GET,/api/admin/email-providers,EmailProviderConfigController,list,SessionAuthGuard,false,false,false,apps/api/src/provider-config/email-provider-config.controller.ts,130b6e2ffedacd5ecbc4ca84826e09761a35e4613e2c97c83d12fc347c6a65bc
POST,/api/admin/email-providers,EmailProviderConfigController,create,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/provider-config/email-provider-config.controller.ts,130b6e2ffedacd5ecbc4ca84826e09761a35e4613e2c97c83d12fc347c6a65bc
PUT,/api/admin/email-providers/:id,EmailProviderConfigController,update,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/provider-config/email-provider-config.controller.ts,130b6e2ffedacd5ecbc4ca84826e09761a35e4613e2c97c83d12fc347c6a65bc
POST,/api/admin/email-providers/:id/activate,EmailProviderConfigController,activate,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/provider-config/email-provider-config.controller.ts,130b6e2ffedacd5ecbc4ca84826e09761a35e4613e2c97c83d12fc347c6a65bc
POST,/api/admin/email-providers/:id/disable,EmailProviderConfigController,disable,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/provider-config/email-provider-config.controller.ts,130b6e2ffedacd5ecbc4ca84826e09761a35e4613e2c97c83d12fc347c6a65bc
POST,/api/admin/email-providers/:id/rollback,EmailProviderConfigController,rollback,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/provider-config/email-provider-config.controller.ts,130b6e2ffedacd5ecbc4ca84826e09761a35e4613e2c97c83d12fc347c6a65bc
POST,/api/admin/email-providers/:id/test,EmailProviderConfigController,recordTest,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/provider-config/email-provider-config.controller.ts,130b6e2ffedacd5ecbc4ca84826e09761a35e4613e2c97c83d12fc347c6a65bc
POST,/api/admin/email-providers/:id/test-connection,EmailProviderConfigController,testConnection,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/provider-config/email-provider-config.controller.ts,130b6e2ffedacd5ecbc4ca84826e09761a35e4613e2c97c83d12fc347c6a65bc
GET,/api/admin/failed-jobs,FailedJobsController,listFailedJobs,SessionAuthGuard,false,false,false,apps/api/src/admin/failed-jobs.controller.ts,6a9cbf1e10f9c7f53b4ec8ba3b68915bb36b75e30e8829d5c8eae248375a6ba9
POST,/api/admin/failed-jobs/:id/resolve,FailedJobsController,resolveJob,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/failed-jobs.controller.ts,6a9cbf1e10f9c7f53b4ec8ba3b68915bb36b75e30e8829d5c8eae248375a6ba9
POST,/api/admin/failed-jobs/:id/retry,FailedJobsController,retryJob,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/failed-jobs.controller.ts,6a9cbf1e10f9c7f53b4ec8ba3b68915bb36b75e30e8829d5c8eae248375a6ba9
GET,/api/admin/failed-jobs/access,FailedJobsController,access,SessionAuthGuard,false,false,false,apps/api/src/admin/failed-jobs.controller.ts,6a9cbf1e10f9c7f53b4ec8ba3b68915bb36b75e30e8829d5c8eae248375a6ba9
POST,/api/admin/failed-jobs/retry-bulk,FailedJobsController,retryBulk,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/failed-jobs.controller.ts,6a9cbf1e10f9c7f53b4ec8ba3b68915bb36b75e30e8829d5c8eae248375a6ba9
GET,/api/admin/failed-notifications,FailedNotificationsController,list,SessionAuthGuard,false,false,false,apps/api/src/admin/failed-notifications.controller.ts,d1e1a8ae1e625aeeccab4138cca110021235fdcea9e541ff7b8a237e5e4fa7e5
POST,/api/admin/failed-notifications/:id/dismiss,FailedNotificationsController,dismiss,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/failed-notifications.controller.ts,d1e1a8ae1e625aeeccab4138cca110021235fdcea9e541ff7b8a237e5e4fa7e5
POST,/api/admin/failed-notifications/:id/resolve,FailedNotificationsController,resolve,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/failed-notifications.controller.ts,d1e1a8ae1e625aeeccab4138cca110021235fdcea9e541ff7b8a237e5e4fa7e5
POST,/api/admin/failed-notifications/:id/retry,FailedNotificationsController,retry,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/failed-notifications.controller.ts,d1e1a8ae1e625aeeccab4138cca110021235fdcea9e541ff7b8a237e5e4fa7e5
GET,/api/admin/failed-notifications/access,FailedNotificationsController,access,SessionAuthGuard,false,false,false,apps/api/src/admin/failed-notifications.controller.ts,d1e1a8ae1e625aeeccab4138cca110021235fdcea9e541ff7b8a237e5e4fa7e5
GET,/api/admin/finance/vat,VatConfigController,list,SessionAuthGuard,false,false,false,apps/api/src/admin/vat-config.controller.ts,77d159084ffd580bb9f09c53226c62059d06edcdfa5ed2b6e566672b52f13ba0
POST,/api/admin/finance/vat,VatConfigController,createRate,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/vat-config.controller.ts,77d159084ffd580bb9f09c53226c62059d06edcdfa5ed2b6e566672b52f13ba0
POST,/api/admin/finance/vat/:id/end,VatConfigController,endRate,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/vat-config.controller.ts,77d159084ffd580bb9f09c53226c62059d06edcdfa5ed2b6e566672b52f13ba0
GET,/api/admin/finance/vat/overrides,VatConfigController,listOverrides,SessionAuthGuard,false,false,false,apps/api/src/admin/vat-config.controller.ts,77d159084ffd580bb9f09c53226c62059d06edcdfa5ed2b6e566672b52f13ba0
POST,/api/admin/finance/vat/overrides,VatConfigController,createOverride,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/vat-config.controller.ts,77d159084ffd580bb9f09c53226c62059d06edcdfa5ed2b6e566672b52f13ba0
POST,/api/admin/finance/vat/overrides/:id/end,VatConfigController,endOverride,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/vat-config.controller.ts,77d159084ffd580bb9f09c53226c62059d06edcdfa5ed2b6e566672b52f13ba0
GET,/api/admin/finance/vat/products,VatConfigController,products,SessionAuthGuard,false,false,false,apps/api/src/admin/vat-config.controller.ts,77d159084ffd580bb9f09c53226c62059d06edcdfa5ed2b6e566672b52f13ba0
GET,/api/admin/finance/vat/resolve,VatConfigController,resolve,SessionAuthGuard,false,false,false,apps/api/src/admin/vat-config.controller.ts,77d159084ffd580bb9f09c53226c62059d06edcdfa5ed2b6e566672b52f13ba0
GET,/api/admin/geography/provinces,AdminGeographyController,listProvinces,SessionAuthGuard,false,false,false,apps/api/src/geography/admin-geography.controller.ts,c729fac3cab32d1e5083c6d0028be66b38b97736e31a0347d3103da8e3e3e614
POST,/api/admin/geography/provinces,AdminGeographyController,createProvince,SessionAuthGuard,false,false,false,apps/api/src/geography/admin-geography.controller.ts,c729fac3cab32d1e5083c6d0028be66b38b97736e31a0347d3103da8e3e3e614
DELETE,/api/admin/geography/provinces/:id,AdminGeographyController,deleteProvince,SessionAuthGuard,false,false,false,apps/api/src/geography/admin-geography.controller.ts,c729fac3cab32d1e5083c6d0028be66b38b97736e31a0347d3103da8e3e3e614
GET,/api/admin/geography/provinces/:id,AdminGeographyController,getProvince,SessionAuthGuard,false,false,false,apps/api/src/geography/admin-geography.controller.ts,c729fac3cab32d1e5083c6d0028be66b38b97736e31a0347d3103da8e3e3e614
PATCH,/api/admin/geography/provinces/:id,AdminGeographyController,updateProvince,SessionAuthGuard,false,false,false,apps/api/src/geography/admin-geography.controller.ts,c729fac3cab32d1e5083c6d0028be66b38b97736e31a0347d3103da8e3e3e614
GET,/api/admin/geography/provinces/:provinceId/cities,AdminGeographyController,listCities,SessionAuthGuard,false,false,false,apps/api/src/geography/admin-geography.controller.ts,c729fac3cab32d1e5083c6d0028be66b38b97736e31a0347d3103da8e3e3e614
POST,/api/admin/geography/provinces/:provinceId/cities,AdminGeographyController,createCity,SessionAuthGuard,false,false,false,apps/api/src/geography/admin-geography.controller.ts,c729fac3cab32d1e5083c6d0028be66b38b97736e31a0347d3103da8e3e3e614
DELETE,/api/admin/geography/provinces/:provinceId/cities/:id,AdminGeographyController,deleteCity,SessionAuthGuard,false,false,false,apps/api/src/geography/admin-geography.controller.ts,c729fac3cab32d1e5083c6d0028be66b38b97736e31a0347d3103da8e3e3e614
GET,/api/admin/geography/provinces/:provinceId/cities/:id,AdminGeographyController,getCity,SessionAuthGuard,false,false,false,apps/api/src/geography/admin-geography.controller.ts,c729fac3cab32d1e5083c6d0028be66b38b97736e31a0347d3103da8e3e3e614
PATCH,/api/admin/geography/provinces/:provinceId/cities/:id,AdminGeographyController,updateCity,SessionAuthGuard,false,false,false,apps/api/src/geography/admin-geography.controller.ts,c729fac3cab32d1e5083c6d0028be66b38b97736e31a0347d3103da8e3e3e614
GET,/api/admin/invoices/:invoiceId/due-at,DueAtOverrideController,get,SessionAuthGuard,false,false,false,apps/api/src/admin/due-at-override.controller.ts,812adcad6811c376816f31847ae50017dbdc20a27548bb5c2ba250d7e5db623c
POST,/api/admin/invoices/:invoiceId/due-at,DueAtOverrideController,override,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/due-at-override.controller.ts,812adcad6811c376816f31847ae50017dbdc20a27548bb5c2ba250d7e5db623c
GET,/api/admin/invoices/bank-receipts,InvoiceBankReceiptConfirmationController,list,SessionAuthGuard;StepUpGuard,false,false,false,apps/api/src/admin/invoice-bank-receipt-confirmation.controller.ts,93bd15a73c023478ee2c2220cd0d1fa2faf6d8f667f5329b0d968af5e6fa41cf
GET,/api/admin/invoices/bank-receipts/:receiptId,InvoiceBankReceiptConfirmationController,get,SessionAuthGuard;StepUpGuard,false,false,false,apps/api/src/admin/invoice-bank-receipt-confirmation.controller.ts,93bd15a73c023478ee2c2220cd0d1fa2faf6d8f667f5329b0d968af5e6fa41cf
GET,/api/admin/invoices/bank-receipts/:receiptId/allocation,InvoiceBankReceiptConfirmationController,allocation,SessionAuthGuard;StepUpGuard,false,false,false,apps/api/src/admin/invoice-bank-receipt-confirmation.controller.ts,93bd15a73c023478ee2c2220cd0d1fa2faf6d8f667f5329b0d968af5e6fa41cf
POST,/api/admin/invoices/bank-receipts/:receiptId/confirm,InvoiceBankReceiptConfirmationController,confirm,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/invoice-bank-receipt-confirmation.controller.ts,93bd15a73c023478ee2c2220cd0d1fa2faf6d8f667f5329b0d968af5e6fa41cf
POST,/api/admin/invoices/bank-receipts/:receiptId/reject,InvoiceBankReceiptConfirmationController,reject,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/admin/invoice-bank-receipt-confirmation.controller.ts,93bd15a73c023478ee2c2220cd0d1fa2faf6d8f667f5329b0d968af5e6fa41cf
GET,/api/admin/kb-groups,KbGroupsController,list,SessionAuthGuard,false,false,false,apps/api/src/knowledge-bases/knowledge-bases.controller.ts,0955677b516bfa60e52fc053318401eee12d01cb2414f94b9a5f644477166c08
POST,/api/admin/kb-groups,KbGroupsController,create,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/knowledge-bases/knowledge-bases.controller.ts,0955677b516bfa60e52fc053318401eee12d01cb2414f94b9a5f644477166c08
DELETE,/api/admin/kb-groups/:id,KbGroupsController,remove,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/knowledge-bases/knowledge-bases.controller.ts,0955677b516bfa60e52fc053318401eee12d01cb2414f94b9a5f644477166c08
GET,/api/admin/kb-groups/:id,KbGroupsController,get,SessionAuthGuard,false,false,false,apps/api/src/knowledge-bases/knowledge-bases.controller.ts,0955677b516bfa60e52fc053318401eee12d01cb2414f94b9a5f644477166c08
PUT,/api/admin/kb-groups/:id,KbGroupsController,update,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/knowledge-bases/knowledge-bases.controller.ts,0955677b516bfa60e52fc053318401eee12d01cb2414f94b9a5f644477166c08
POST,/api/admin/kb-groups/:id/members,KbGroupsController,addMember,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/knowledge-bases/knowledge-bases.controller.ts,0955677b516bfa60e52fc053318401eee12d01cb2414f94b9a5f644477166c08
DELETE,/api/admin/kb-groups/:id/members/:kbId,KbGroupsController,removeMember,SessionAuthGuard;StepUpGuard,false,false,true,apps/api/src/knowledge-bases/knowledge-bases.controller.ts,0955677b516bfa60e52fc053318401eee12d01cb2414f94b9a5f644477166c08
GET,/api/admin/knowledge-bases,KnowledgeBasesController,list,SessionAuthGuard,false,false,false,apps/api/src/knowledge-bases/knowledge-bases.controller.ts,0955677b516bfa60e52fc053318401eee12d01cb2414f94b9a5f644477166c08
